Komponist,Werkname,Satz_Nr,Kommentar,tapping_files,tapping_folder,recording_folder,Dirigent,Orchester,Aufnahmejahr,KWV,Product ID,auf GitHub?,Quelle,Kommentar,Takt von,Takt bis,,"Granularitäten Gl,j der Abschnitte Sl,j"
Jean Sibelius,Symphonie No. 6,1,,,,,Herbert von Karajan,Berliner Philharmoniker,1980,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Kurt Sanderling,Berliner Sinfonieorchester,1974,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Simon Rattle,Birmingham Symphony Orchestra,1986,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Collin Davis,Boston Symphony Orchestra,1976,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Sergei Koussevitzky,Boston Symphony Orchestra,1946,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Paavo Berglund,Bournemouth Symphony Orchestra,1973,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Paavo Berglund,Chamber Orchestra of Europe,1995,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Neeme Järvi,Göteborgs Symfoniker,2005,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,John Barbirolli,Hallé Orchestra,1970,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Georg Schneevoigt,Helsinki Philharmonic Orchestra,1934,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Paavo Berglund,Helsinki Philharmonic Orchestra,1986,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Osmo Vänskä,Lathi Symphony Orchestra,1997,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Anthony Collins,London Symphony Orchestra,1955,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Collin Davis,London Symphony Orchestra,1994,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Paavo Järvi,Orchestre de Paris,2014,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Herbert von Karajan,Philharmonia Orchestra,1955,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Vladimir Ashkenazy,Philharmonia Orchestra,1984,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Thomas Beecham,Royal Philharmonic Orchestra,1947,,,nein,,1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Maurice Abravanel,Utah Symphony Orchestra,1977,,,nein,TW (CD),[Sätze:] 1,,,,
Jean Sibelius,Symphonie No. 6,1,,,,,Lorin Maazel,Wiener Philharmoniker,1968,,,nein,,1,,,,
Ludwig van Beethoven,Symphonie No. 6,0,,,,,Carlos Kleiber,,1983,,,x,,,,,,
Ludwig van Beethoven,Symphonie No. 6,0,,,,,Herbert von Karajan,,1962,,,x,,,,,,
Ludwig van Beethoven,Symphonie No. 6,0,,,,,Wilhelm Furtwängler,,1954,,,x,,,,,,
Ludwig van Beethoven,Symphonie No. 7,1,,,,,Carlos Kleiber,,1975,,,x,,,1,55,,Viertel
Ludwig van Beethoven,Symphonie No. 7,1,,,,,Herbert von Karajan,,1963,,,x,,,1,55,,Viertel
Ludwig van Beethoven,Symphonie No. 7,1,,,,,Wilhelm Furtwängler,,1953,,,x,,,1,55,,Viertel
Ludwig van Beethoven,Symphonie No. 8,0,,,,,Herbert von Karajan,,1963,,,x,,,,,,
Ludwig van Beethoven,Symphonie No. 8,0,,,,,Wilhelm Furtwängler,,1953,,,x,,,,,,
Anton Bruckner,Symphonie No. 9,3,,"Bruckner_9-3_Jochum_BPO_1964_A1_converted.txt,Bruckner_9-3_Jochum_BPO_1964_A3.csv",tappings/Bruckner_sym_9_3,BRUCKNER_Sym9-3_-_JOCHUM_BPO_1964_DG_[429 088-2]/,Eugen Jochum,Berliner Philharmoniker,1966,,,x,Moz-Bibl.,"Platte (eine CD von DG wurde ""accurately ripped"")",150,243,,Viertelnoten
Anton Bruckner,Symphonie No. 9,3,,"Bruckner_9-3_Karajan_BPh_1975_A4.txt,Bruckner_9-3_Karajan_BPO_1975_KWV_996_A1_converted.txt,Bruckner_9-3_Karajan_BPO_1975_KWV_996_A2.csv,Bruckner_9-3_Karajan_BPO_1975_KWV_996_A3.csv",tappings/Bruckner_sym_9_3,BRUCKNER_Sym9-3_-_KARAJAN_BPO_[KWV_996]_1975_DG_[2530 828]/,Herbert von Karajan,Berliner Philharmoniker,1975,996,,x,KI,,150,243,,Viertelnoten
Anton Bruckner,Symphonie No. 9,3,,,tappings/Bruckner_sym_9_3,,Wilhelm Furtwängler,Berliner Philharmoniker,1944,,,,,,150,243,,Viertelnoten
Anton Bruckner,Symphonie No. 9,3,,,tappings/Bruckner_sym_9_3,,Bruno Walter,Columbia Sym Orch,1960,,,,,Platte,150,243,,Viertelnoten
Anton Bruckner,Symphonie No. 9,3,,,tappings/Bruckner_sym_9_3,,Otto Klemperer,New Philharmonie Orch,1970,,,,,Emi Classics,150,243,,Viertelnoten
Anton Bruckner,Symphonie No. 9,3,,,tappings/Bruckner_sym_9_3,,Bruno Walter,Philharm. Sym Orch,1946,,,,,,150,243,,Viertelnoten
Anton Bruckner,Symphonie No. 9,3,,,tappings/Bruckner_sym_9_3,,Bernard Haitink,RCO,1965,,,,,,150,243,,Viertelnoten
Anton Bruckner,Symphonie No. 9,3,,,tappings/Bruckner_sym_9_3,,Eduard van Beinum,RCO,1956,,,,,Platte,150,243,,Viertelnoten
Anton Bruckner,Symphonie No. 9,3,,"Bruckner_9-3_Abbado_VPO_1996_A1_converted.txt,Bruckner_9-3_Abbado_VPO_1996_A3.csv,Bruckner_9-3_Abbado_VPO_1996_A4.txt
",tappings/Bruckner_sym_9_3,BRUCKNER_Sym9-3_-_ABBADO_WPh_1996_LIVE_DG_[471 032-2]/,Abbado,Wiener Philharmoniker,1996,,,x,LL,DG,150,243,,Viertelnoten
Anton Bruckner,Symphonie No. 9,3,,"Bruckner_9-3_Giulini_WPh_1988_A1_converted.txt,Bruckner_9-3_Giulini_WPh_1988_A4.txt
",tappings/Bruckner_sym_9_3,BRUCKNER_Sym9-3_-_GIULINI_WPh_1989_LIVE_DG_[427 345-2]/,Carlo Maria Giulini,Wiener Philharmoniker,1988,,,x,LL,DG,150,243,,Viertelnoten
Anton Bruckner,Symphonie No. 9,3,,,tappings/Bruckner_sym_9_3,,Hans Knappertsbusch,Wiener Philharmoniker,1961,,,,,,150,243,,Viertelnoten
Anton Bruckner,Symphonie No. 9,3,,,tappings/Bruckner_sym_9_3,,Herbert von Karajan,Wiener Philharmoniker,1978,963,,,,,150,243,,Viertelnoten
